variety,country,province,winery,price,points,expert wine description
Riesling,US,Washington,Convergence Zone,15.0,90.0,"Scented with notes of pine needle and lemon polish, this puts its concentration square in the mid-palate. There are pretty traces of honeyed botrytis, and a suggestion of sweetness, though the acidity keeps it on the dry side. Excellent length, with a pretty finish of honey and tea."
Albariño,Spain,Galicia,Leira,15.0,90.0,"An elegant and well-made Albariño with lemon chiffon, pear and green apple aromas. The palate is just right in feel, depth and minerality, with apple, pear, honeydew and hidden spice flavors. Clean, teetering on lush and delicious as it finishes. Drink this pretty wine as soon as possible."
Melon,France,Loire Valley,Bonnet-Huteau,15.0,90.0,"This is a rich style of Muscadet, ripe with red apples and lemon acidity. It's full bodied, structured with some minerality and a tight, nervy texture. It's a delicious wine that could be aged, so drink from 2016."
Syrah,US,California,Cameron Hughes,15.0,90.0,"The reliable négociant winery scores once again on this bottling, which shows intriguing aromas of smoked plums, hoisin-marinated pork, cocoa powder, crushed pepper and ollallieberries. It's delicious once sipped, with pepper, boysenberries and a hickory wood character."
Portuguese White,Portugal,Alentejo,Mouchão,15.0,90.0,"A blend of Arinto and Antão Vaz, this is an impressively structured and concentrated wine. Ripe and flowery, with flavors of mango and yellow fruit. The smooth yet tangy structure gives pleasure now, but also promises aging. Drink until 2019."
Touriga Nacional,Portugal,Alentejano,Casa Agricola Alexandre Relvas,15.0,90.0,"Dense dusty tannins dominate this 100% Touriga Nacional wine, powering its black fruits and acidity. The serious structure and firm, dry core contrast with the juicy berry flavors that will give a bright character as the wine matures. Drink from 2018."
Portuguese Red,Portugal,Lisboa,Casa Santos Lima,15.0,90.0,"This is a ripe, impressively rich wine. With dense tannins, spice and layers of black fruits it is concentrated, wearing its high alcohol easily. It comes from one of the home estates of Casa Santos Lima in the heart of the Lisboa region. Drink this wine from 2018."
Sauvignon Blanc,Austria,Burgenland,Nittnaus Hans und Christine,15.0,90.0,"Heady aromas of very ripe passion fruit as well as crackling, zingy acidity combine here to great, refreshing effect. Intense and very long with quintessential varietal character, it delivers a real dash of tropicality."
Riesling,Germany,Nahe,Prinz Salm,15.0,90.0,"This off-dry Riesling's honey-kissed peach and nectarine flavors are lip-smackingly sweet. Its light, sprightly texture and high-toned acidity lend balance and refreshment. Brisk and easy-drinking, it offers loads of quaffable appeal."
Bordeaux-style White Blend,France,Bordeaux,Château Toutigeac,15.0,90.0,"The fifth generation of the family to make wine at the estate, Oriane Mazeau has created a delicately spicy wine that is lively and fruity. A floral character gives it a lift, as does crisp acidity. Bright, with plenty of flavorsome fruitiness, the wine is already a pleasure to drink."
Chardonnay,Austria,Burgenland,Markus Altenburger,15.0,90.0,"Reduced when first opened, this wine shows its lemony, fresh apple notes with a bit of air. It has the lovely midpalate texture and freshness inherent to good Chardonnay and fills the mouth with citrus and orchard fruit notes. Slender, structured and fresh-faced, it only needs some time to breathe."
Garnacha,Spain,Northern Spain,Cameron Hughes,15.0,90.0,"This is nothing more than a few barrels of wine bottled by Hughes, a so-called “global vintner.” And like its Lot 128 brother, it is really good juice. Inky and floral, with blueberry and wild raspberry flavors. It's smooth, fresh, bold and finishes with mint and chocolate. Shows the positives of Campo de Borja's Garnacha."
Red Blend,Italy,Tuscany,Castello di Gabbiano,15.0,90.0,"Made with 90% Sangiovese, 5% Merlot and 5% Colorino, this straightforward, savory wine opens with aromas of ripe berry, tobacco, blue flowers and a whiff of cedar. The bright, accessible palate delivers crushed black cherry, licorice and white pepper alongside supple tannins and fresh acidity. It's made for sheer drinking pleasure so enjoy over the next few years."
Pinot Gris,Israel,Galilee,Dalton,15.0,90.0,"This pale straw-colored wine has a bouquet of melon and nutmeg. Flavors of pear, peach, apple, lemon curd and soft spice mingle on the palate into the smooth, lemon-tart finish."
Red Blend,Italy,Tuscany,Rocca delle Macìe,15.0,90.0,"Tilled soil, ripe plum, blue iris and a whiff of spice come together on the nose. The vibrant, juicy palate offers ripe wild cherry, crushed raspberry, mocha and clove alongside fine-grained tannins. Drink through 2018."
Portuguese Red,Portugal,Douro,Quinta das Carvalhas,15.0,90.0,"With its classic blend of Douro grapes, this is a serious, structured wine from the heart of the valley. It has a leathery edge from dry tannins along with dense black fruit and wood aging flavors. It still needs cellaring, so drink from 2017."
Loureiro,Portugal,Vinho Verde,Quinta do Ameal,15.0,90.0,"The Loureiro is the grape of the Lima Valley subregion in Vinho Verde. The texture of the wine is rounded and creamy, although the crisp green fruits give a great bright lift to this delicious, fresh wine."
Sauvignon Blanc,New Zealand,Marlborough,Saveé Sea,15.0,90.0,"This wine does a nice job balancing its tropical fruit aromas and flavors with leafy, green notes. Ripe nectarine and grapefruit lie at the core, while herbal flourishes garnish the nose and finish."
Shiraz,Australia,South Australia,Hardys,15.0,90.0,"An excellent value, Hardys' Oomoo Shiraz can run with a pack twice its price, offering earth and cola aromas and a deep undercurrent of blackberries. It's full-bodied, mouthfilling yet structured. Adds flavors of black olives to the mix, along with velvety tannins and mouthwatering acids on the finish."
Lemberger,US,Washington,Kiona,15.0,90.0,"Lemberger, also known as Blaufränkisch, was planted here in the 1970s—the winery believes it was the first commercial bottling in the country. This is a seriously good wine, worthy of special attention. It could be mistaken for a particularly fine country wine from Italy, southern France or Spain, with its old vine complexity, red and blue fruits and whiff of tanned leather."
Red Blend,Chile,Colchagua Valley,Estampa,15.0,90.0,"Savory and earthy up front, this blend of Malbec and Petit Sirah is quite ripe and not at all herbal. In the mouth, it's cushioned and rich, while dark, toasty flavors of blackberry and pepper finish a touch bitter, like dark chocolate or a cup of espresso."
Chardonnay,US,Washington,Tamarack Cellars,15.0,90.0,"A well-integrated mix of grapes from a broad range of vineyards across the entire Columbia valley, this outstanding value proves that good Chardonnay does not have to be strengthened by age in new oak barrels. Stone fruits, hints of tropical papaya and banana, contribute to a complex, fruit-driven, well-balanced wine with medium-term aging potential."
Saperavi,Georgia,Kakheti,Dilao,15.0,90.0,"Deep garnet in the glass, this wine offers a tight nose of black cherry before filling the mouth with flavors of blackberry, cherry, dark chocolate and lavender. Soft tannins that are slow to make their presence known persist into the bright cherry finish."
Portuguese White,Portugal,Minho,Quinta de Soalheiro,15.0,90.0,"The blend of Vinho Verde's two top grapes brings out great swathes of crisp acidity as well as vibrant citrus flavors. The wine is delicious while also tense with minerality. That will soften over the next few months, so drink the wine starting from late 2017."
Pinot Gris,France,Alsace,Ruhlmann,15.0,90.0,"Friendly inviting notes of ripe juicy pear appear immediately on the nose and are also amply present on the palate. The body is concentrated and has warmth and texture that are amply countered by zesty citrus freshness. The finish is clean, medium sweet and lasting."
Riesling,Germany,Rheinhessen,Weingut Georg Albrecht Schneider,15.0,90.0,Dusty mineral and pollen notes lend complexity to decadent honey and apricot in this medium-sweet auslese. It's lavish and creamy in texture yet tightly balanced by spine-tingling lemon-lime acidity. It offers an exceptional value for such an opulent wine.
Portuguese White,Portugal,Tejo,Quinta da Alorna,15.0,90.0,"This wood-aged wine is ripe, lightly toasty and definitely spicy. It has a creamy, rounded texture that is rich and zingy, layering acidity with citrus and yellow fruits. Drink this wine from 2017."
Cabernet Sauvignon,Argentina,Mendoza Province,Trapiche,15.0,90.0,"Spice, licorice and herbal notes complement red-fruit aromas, while the palate offers plenty of structure and tannic grab. There's an avalanche of blackberry, cassis, fig, chocolate and herbal flavors to process, while the finish is rich and rewarding before breaking up in bits."
Portuguese Red,Portugal,Dão,Casa da Passarella,15.0,90.0,"This is a richly structured wine. With its juicy red fruits and generous structure, it is delicious now. Berry flavors and acidity go with the mineral edge of the texture to create a wine that is packed with acidity, tannins and fruit. Drink now."
Bordeaux-style White Blend,France,Bordeaux,Château Lestruelle,15.0,90.0,"Still very young, this is a Maison Bouey wine with good potential. It offers hints of the ripe yellow fruits and richness that will come as it develops. The touch of perfumed spice means it is also a wine to savor as an apéritif."
Ribolla Gialla,Slovenia,Goriska Brda,Colliano,15.0,90.0,"This Slovenian Ribolla Gialla has aromas of peach and vanilla, with flavors of freshly baked peach pie, canned apricots and green apple. It is soft on entry, rounded in the mouth and shows good minerality on the finish."
Riesling,Austria,Kremstal,Unger,15.0,90.0,"The nose is rather closed but this bursts into life in the mouth with lip-smacking citrus freshness and notions of tart stone fruit along a linear, driven palate. Whistle-clean and just a little bracing, this is a textbook Riesling from the fresh 2014 vintage. It's light-bodied but shows lots of verve."
Tempranillo Blend,Spain,Levante,El Molet,15.0,90.0,"Sweet blackberry aromas come with floral edgings, and the whole is impressive. Full-bodied and balanced, with healthy, ripe black cherry and dark plum flavors. Finishes spicy, with a note of bitter espresso. 90% Tempranillo with 10% Cabernet Sauvignon. One of the best wines from Valencia."
Bordeaux-style Red Blend,France,Bordeaux,Château Sainte Marie,15.0,90.0,"Ripe and toasty, this is a rich, full-bodied and juicy wine. It has ripe berry fruits, touches of black currant and balancing acidity. Wood aging supports the palate and adds considerable potential. Drink this fine wine from 2016."
Pinot Blanc,France,Alsace,Jean-Marc Bernhard,15.0,90.0,Very ripe pear plays on the enticing nose. The palate has the same refreshing and appetizing fruitiness. Lemony brightness pervades the light-bodied palate and makes for a very moreish finish.
Alsace white blend,France,Alsace,Pierre Sparr,15.0,90.0,"The rosy floral overtones of Muscat are very evident on the fragrant nose. The palate, on the other hand, gives us the texture of Pinot Gris and the freshness of Riesling while floral nuances hover and swirl. This is a lovely blend of all that Alsace does well. Friendly and fresh with a dry finish."
Pinot Grigio,Australia,Victoria,Redbank,15.0,90.0,"This is a dry, relatively austere wine. It showcases aromas of wet stone and lemon thyme, followed by flavors of pineapple and lemon and a long, citrusy finish. Drink now."
Sauvignon Blanc,Chile,Casablanca Valley,Quintay,15.0,90.0,"Pungent and precise, with a textbook mix of green aromas, tropical fruits and lushness. Feels lively and juicy, with lime, lychee, green apple and pineapple flavors that settle on passion fruit come finishing time."
White Blend,US,Washington,Thurston Wolfe,15.0,90.0,"Bright, fresh and fruity, this is loaded with citrus—especially grapefruit—goodness. There are layers of pears and peaches, making this a big, fruity, mouth-filling wine."
Portuguese Red,Portugal,Tejo,Wines & Winemakers,15.0,90.0,"A big, ripe and spicy wine that is full of red fruit notes and gentle tannins. It is open and accessible, its fruit juiciness already a pleasure to taste. There is fresh acidity on the finish. Drink now through 2019."
Cabernet Sauvignon,Portugal,Lisboa,Companhia das Quintas,15.0,90.0,"Cabernet Sauvignon in the cool Lisboa region has a similarity to Bordeaux. It gives a structured, black currant flavored wine, with firm tannins, a mineral texture and serious acidity. The wine is tight and should age well. Drink from 2014."
Grüner Veltliner,Austria,Kremstal,Stadt Krems,15.0,90.0,"A rather closed nose wants to give little away, but the palate is zingy with yeast, grapefruit peel and fresh, greenish leafiness, all held with focus and poise. Very refreshing."
Chardonnay,US,California,Harken,15.0,90.0,"A tasty tang of toasted oak adds a great top note to this full-flavored and full-bodied wine, so that it seems to build complexity from the bass notes of ripe pear, to the butter and cinnamon in the middle and up to the wrapping of spicy, smoky oak."
Riesling,Australia,Western Australia,Rocky Gully,15.0,90.0,"A little less austere and easier to drink than many dry Aussie Rieslings, this wine features lime and vanilla shadings on the nose, and ample apple, melon and citrus flavors. It's fullish and round, despite only 12.5% alcohol, with a long, mouthwatering finish. Drink now–2010."
Tempranillo Blend,Spain,Northern Spain,Faustino Rivero Ulecia,15.0,90.0,"Generous aromas of root beer, lemon, licorice, wood smoke, blackberry and prune set this off on a good course. The palate is sinewy and chewy, with baked, minty blackberry flavors that are peppery and toasty as well as savory, meaty and slightly stewed on the finish. Drink through 2019."
Portuguese White,Portugal,Tejo,Casa Cadaval,15.0,90.0,"A blend of Viognier and Arinto, this wine is given another dimension from wood aging. A smoky character adds complexity to ripe apricot and crisp quince flavors. This is juicy and rich while having a refreshing aftertaste."
Bordeaux-style White Blend,France,Bordeaux,Vignobles Carreau Selection,15.0,90.0,This 50-50 Sauvignon Blanc and Sémillon is a rich wine that is full of lightly peppered ripe apple and pear flavors. It feels generous while being full in the mouth with good concentration and crisp acidity. Drink now.
Tempranillo,Spain,Northern Spain,Palacio del Burgo,15.0,90.0,"Charred, earthy black-fruit aromas are smoky and power-packed. This feels full yet balanced, with freshness and strong tannins. Ripe berry, prune and oak-spice flavors finish with a note of vanilla and length. For a Crianza from a tough vintage, this is commendable."
Garganega,Italy,Veneto,Inama,15.0,90.0,"This crisp, savory white offers layers of white peach, tart Granny Smith apple and lemon-lime flavors. It's vibrant and well balanced, with refreshing acidity. An almond note signals the close."
Bonarda,Argentina,Mendoza Province,La Posta,15.0,90.0,"Cherry and plum aromas are ripe, sweet and inviting. There's plenty of body and roundness to this Bonarda, while exotic blueberry and boysenberry flavors finish fresh, with a light herbal aftertaste. Overall this shows lots of fruit and good balance."
Rosato,Italy,Sicily & Sardinia,Pala,15.0,90.0,"Refreshing and delicious, this blend of Sardinian grapes—40% Monica, 30% Cannonau and 30% Carignano—opens with aromas of rose, wild berry and a whiff of Mediterranean scrub. The vibrant palate offers juicy red cherry, raspberry and a hint of baking spice alongside bright acidity. A saline note backs up the finish."
Rosé,US,Oregon,Quady North,15.0,90.0,"How can you not fall in love with this wine? It's crafted from vines specifically planted and tended for rosé, an interesting blend of Grenache, Syrah, Mourvèdre, Counoise and Grenache Blanc. Sexy, spicy and rich, it's packed with strawberry and cherry fruit backed with crisp and refreshing acidity."
Portuguese White,Portugal,Tejo,Quinta do Casal Monteiro,15.0,90.0,"The Chardonnay in this blend dominates, giving a rich, generous feel to the wine, full of ripe plum and peach flavors. The Arinto provides fresh acidity that is behind the warm fruits. Full and generous, it is a wine that needs to age; drink from the end of 2016."
Pinot Gris,Australia,Victoria,McPherson Wine Company,15.0,90.0,"Made with enough skin contact to yield a gentle coppery hue, this medium-bodied wine features aromas of cantaloupe, cherry and citrus. Cherry fruit on the palate is accompanied by vaguely Pinot Noir-like notes of dried bracken and moss, then glides to a long, silky finish. Drink now."
Riesling,US,New York,Dr. Konstantin Frank,15.0,90.0,"Lemon-lime acidity cuts a laser-sharp edge through honey in this lush, concentrated Riesling full of pink grapefruit, mango and peach flavors. It's a lip smacking, juicy wine, yet stands up to even the most elegant occasions. Drink now."
Red Blend,South Africa,Western Cape,Neil Ellis,15.0,90.0,Smoky spice and dried herbs on the nose are followed by flavors of rustic spice and red fruit on the palate. Vibrant fruit and muscular tannins are integrated by a clean minerality. The wine has native character but will please many palates with its dimension.
Riesling,US,Washington,Seven Hills,15.0,90.0,"Sourced from mature plantings in cool sites, this exemplary Riesling is technically off dry, but retains its apple-fresh snap and tang. The sweet/tart fruit flavors include abundant peaches, nectarines and apples, and the mouthfeel is ripe and full, the finish lingering."
Sauvignon Blanc,New Zealand,East Coast,Tablelands,15.0,90.0,"Fruit from Martinborough and Hawkes Bay features in this value-priced wine. Despite ample weight and fleshy texture, it manages to finish dry and elegant, with shadings of fig, white grapefruit, fennel and pineapple."
Riesling,Australia,South Australia,Pikes,15.0,90.0,"Despite its modest alcohol level, this bottling speaks of ripe fruit. Lime and bergamot aromas bring a floral element, while the flavors are of tangerine and nectarine. A touch of residual sugar adds roundness to the mouthfeel."
Encruzado,Portugal,Dão,Dão Sul,15.0,90.0,"Encruzado is the Dão's star white grape, able to produce, as here, a wine that combines a great sense of style, some weight, along with the freshest of lemon tints. There is some fullness as well, while the final taste is crisp."
Alicante Bouschet,Portugal,Lisboa,DFJ Vinhos,15.0,90.0,"Pure Alicante Bouschet is rare in the cooler Lisboa region, but this wine certainly reveals much of the richness and intense fruit that makes this grape so popular among producers. It is a rich wine, with structure as well as fruit, that is ready to drink now."
Gamay,France,Beaujolais,Domaine de Roche-Guillon,15.0,90.0,"This is a rich and full-bodied wine. While it is certainly packed with crunchy cherry flavors, it also has a more tannic and structured side giving it a firm texture to back up the fruitiness. The aftertaste is juicy and ripe."
Gamay,France,Beaujolais,Vaucher Père et Fils,15.0,90.0,"Produced by a négociant based in Nuits-Saint-Georges, this is a ripe, Burgundian take on Beaujolais. This creates a full, plum and black cherry flavored wine where the tannins have been cushioned by the generous fruit. It does have the typical acidity and freshness of the year to give a lift. Drink now."
Portuguese White,Portugal,Lisboa,DFJ Vinhos,15.0,90.0,"A fine and rich blend of Chardonnay and Arinto, this wine has touches of spice and vanilla as well as crisp, bright fruit tones. Citrus and yellow fruit flavors show strongly through the lacy texture of this wine, which has a cool character from the proximity of the vines to the ocean. Drink now."
Shiraz,Australia,South Australia,St Hallett,15.0,90.0,"An excellent value, this is a fairly full-bodied, slightly creamy-textured Shiraz that should provide ample pleasure through 2020. Smoky, plummy fruit finishes warm and plush."
Pinot Blanc,Austria,Südsteiermark,Strauss,15.0,90.0,"Gentle Mirabelle plum fruit charms on this clean, delicately balanced Pinot Blanc. Slight texture adds extra interest alongside ripe lemon freshness. Subtle, understated but very good."
Grüner Veltliner,Austria,Kremstal,Hermann Moser,15.0,90.0,"Lifted pear-drop aromas are accompanied by the peppery green of watercress and arugula. The concentrated palate is grounded by earthy, savory yeast notes and framed by fresh lime peel. There is a dollop of riper pear fruit at the core, shining and shimmering with added charm."
Riesling,Germany,Mosel,Dr. Pauly Bergweiler,15.0,90.0,"In contrast to a nose that's more mineral than fruit, the intensity of this wine's voluptuous nectarine and yellow peach flavors surprise. It's dry in style but with a succulent fruitiness that clings delectably to the palate. Finishes long and lean with a tang of steely minerality. Drink now through 2019."
Shiraz,Australia,South Australia,Red Knot,15.0,90.0,"Asphalt, licorice and espresso mark the nose of this medium-bodied, juicy Shiraz. The flavors are brighter, hinting at rhubarb, yet still retaining a dark, tarry edge. Drink this mouthwatering wine over the next few years."
Riesling,US,Washington,Mackey Vineyards,15.0,90.0,"Off dry it is, with flavors of Meyer lemon and black tea and plenty of acid. It is a fine value for the price, with density, concentration, purity of fruit and grip. Fruit runs through citrus into light tropical; the sugar falls out in the very finish but is balanced nicely against the acids."
Red Blend,Chile,Colchagua Valley,MontGras,15.0,90.0,"Sweet and smoky on the nose, with prune, hickory and spice aromas that come together well. The palate on this four-grape blend is saturated and meaty, while the flavors of blackberry, coffee and dark plum are lush and finish with toast and spice. Always one of Chile's best values; an overperformer year after year."
Albariño,Spain,Galicia,Condes de Albarei,15.0,90.0,"With a gold glint and put-together aromas of peach, candle wax, mineral and citrus, this is very nice Albariño that's now fully ripe, mature and drinking at its best. The palate pits juicy melon against dry papaya; it's big, ripe, full and the perfect foil for all sorts of white-friendly foods. Only 1,000 cases made of this reserve-style wine."
Pinot Blanc,US,Oregon,David Hill,15.0,90.0,"There's a delicate lemon scent, leading into a mix of citrus, grapefruit peel and honeysuckle. The wine gains weight in the mouth, showing ripe fruit (yellow apples) and a soft, lightly oxidized finish with toasted coconut and cracker. Quite delicious, distinctive and rich."
Pinot Gris,US,Oregon,David Hill,15.0,90.0,"Fresh and satisfying, with flavors of apples and pears, brioche and vanilla cream. What stands out is the full, round midpalate, and the way the wine keeps resonating through an extended finish."
Portuguese Red,Portugal,Alentejano,Fitapreta Vinhos,15.0,90.0,"A smooth, rounded wine, with depth of black berry, dark plum and licorice flavors. It is solid, chunky, powerfully ripe, full of pepper, spice as well as sweet acidity. Very enticing and rich."
Riesling,US,Oregon,A to Z,15.0,90.0,"Just a hint of sweetness—mostly from ripe fruit rather than residual sugar—livens up this fresh and fruity Riesling. It's a mouthful of lemon, lime and peach fruit flavors, supple and fleshy. A streak of English breakfast tea adds interest through the finish."
Rosé,US,California,Carol Shelton,15.0,90.0,"This substantial dry rosé, mostly made from Carignane grapes, is extremely rich in color. Likewise, the flavors have plenty of juicy red wine notes like cherry, raspberry and earthy spices, and it balances well between good acidity and creamy viscosity. It can almost substitute for a red wine, and will add depth to occasions with equally flavorful food."
Sylvaner,France,Alsace,René Muré,15.0,90.0,"Grated lime zest on the nose leads to an uncompromisingly but refreshingly brisk palate. This has freshness and a stony, almost chalky depth and wonderful concentration and freshness. It's dry, brisk and invigorating."
Sauvignon Blanc,US,Washington,Jones of Washington,15.0,90.0,"This well-made, pure Sauvignon Blanc seems to have a noticeable amount of residual sugar—not surprising in a high acid vintage such as 2011. Zesty, lightly grassy, spicy and stylish, it's fresh and rich on the palate, with a finishing streak of minerality."
Riesling,US,New York,Hosmer,15.0,90.0,"While the nose is restrained, the palate of this off-dry Riesling bursts with sweet, luscious pink grapefruit, guava and peach flavors. It's refreshingly crisp, yet deeply concentrated with a lingering, almost berried touch of sweetness on the finish. Drink now–2016."
Sauvignon Blanc,New Zealand,Marlborough,Innocent Bystander,15.0,90.0,"This Australian (Yarra Valley-based) brand has bottled an excellent Marlborough Sauvignon Blanc. It's plump and ample in the mouth, while the aromas are laced with hints of struck flint, snow pea, celery leaf and gooseberry, all woven into fine balance and possessing a long, mouthwatering finish."
Red Blend,US,Washington,North by Northwest,15.0,90.0,"Aromas of coffee, toast, vanilla spice and dark fruit offer immediate appeal. The black-fruit flavors are ripe and generous, sticking around on the tart finish."
Portuguese Red,Portugal,Douro,Quinta de la Rosa,15.0,90.0,"The second label of Quinta de la Rosa is a ripe and smoothly fruity wine. Soft tannins and ample acidity harmonize well with the exuberant black fruits. It is big, rich and not needing aging; drink this rounded wine from 2016."
Glera,Italy,Veneto,Drusian,15.0,90.0,"Delicate aromas of white flowers, stone fruit and pear lead the way. On the palate, a core of green apple and citrus is carried by vibrant, fresh acidity. Small, lively bubbles lend finesse."
Malbec,Argentina,Mendoza Province,Lamadrid,15.0,90.0,"Hard-packed, concentrated black-fruit aromas are a signal of this rugged Malbec's character. It's blasting with toasty blackberry and pepper flavors, which are backed by spice, heat and a general sense of full but proper ripeness and high quality. Drink through 2019."
Merlot,France,Bordeaux,Château Siaurac,15.0,90.0,"A special cuvée of Château Siaurac, this is dark, dense, seriously young at this stage, but destined for a powerful, rich, black fruit and tannin future. It has weight and concentration, layered with new wood and acidity. Drink from 2017."
Albariño,Spain,Galicia,Val do Sosego,15.0,90.0,"A mix of youthful freshness and lees scents blend nicely with spiced apple aromas in front of a tight, citrusy palate. This punches above its weight class courtesy of tasty nectarine, apricot and yeasty flavors. A dusty, slightly pithy finish wraps this up in fine form."
Alicante Bouschet,Portugal,Lisboa,DFJ Vinhos,15.0,90.0,"With the typical dark color of this red grape, this is a dense and firm wine. It has rich plum and berry flavors that are dark as well as juicy. Tannins lace the background to this already delicious wine, finishing with refreshing acidity. Drink from 2016."
Bordeaux-style Red Blend,France,Bordeaux,Château Roquevieille,15.0,90.0,"Structured and still firm, this is a wine with some good potential. It's full of blackberry fruit and ripe tannins. Juicy acidity gives it a crisp edge, lifting the solid texture. Drink from 2020."
Bordeaux-style Red Blend,France,Bordeaux,Château Suau,15.0,90.0,"Warm and rich, the wine from vineyards on the slopes above Cadillac have the structure of the vintage along with the ripe, blackberry fruits. It is already attractive to drink, and will continue to age nicely over the medium term."
Gamay,France,Beaujolais,Henry Fessy,15.0,90.0,"Full, ripe and smoky, this well-balanced wine has a dense texture to offset the bright red fruits and acidity. Spice, smoky flavors and a fresh red fruit aftertaste give a ready-to-drink feel."
Bordeaux-style Red Blend,France,Bordeaux,Château de Cornemps,15.0,90.0,"This is a full, ripe wine. It has red fruits, black currants and a rich seam of tannins. There is also a smoky character that adds attraction. With a ripe aftertaste, the wine is developing well and should be ready from 2018."
Zinfandel,US,California,Jamieson Ranch,15.0,90.0,"This grabs attention quickly, with a dark color and potent jam and brown sugar aromas. Next come dazzling strawberry syrup flavors backed by thick tannins and good acidity. The texture is astringent and tight, but the flavors are so full that they meet the tannins half way. Best now through 2019."
Rosé,France,Bordeaux,Vignobles Grandeau,15.0,90.0,"In this wine, red berries and currants burst out of the glass. These are balanced with apple and citrus acidity to give a wine that is all about delicious fruit and refreshing acidity. Drink now."
Rosé,France,Bordeaux,Château Suau,15.0,90.0,"Lightly structured, this is a balanced, ripe wine. It has profited from the good vintage to offer strawberry, raspberry and citrus flavors that are well balanced and textured. Drink this attractive wine now."
Cabernet Sauvignon,US,California,Carnivor,15.0,90.0,"Dark in color, deep in aroma, quietly intense in flavor and so mouthcoating in texture—this Cabernet demands to be noticed. Yet all of those bold elements are wrapped in a tightly woven and softly finished texture. The flavors are like dark chocolate and ripe blackberries, the mouthfeel is fine and it's not overly tannic or too full-bodied."
Red Blend,US,America,Sokol Blosser,15.0,90.0,"Like the Evolution White, this nonvintage blend is labeled by edition, this being the fifth. The blend includes Syrah, Sangiovese, Montepulciano and a splash of Evolution white. It's built for quaffing, and would be just as comfortable in a camp-friendly bota bag as on your dinner table. Cranberry fruit underlined with a strong streak of slate keeps it fresh and lively."
White Blend,Spain,Catalonia,Huguet de Can Feixes,15.0,90.0,"Apple, melon and apricot aromas are pure and come with zero interference from natural funk or oak. A blend of mostly Parellada with Macabeo and other white grapes, it hails from the highest vineyards in the Penedès. Flavors of melon, lime and wet stones reflect gravelly soils, and it's steady on a long finish."
Gewürztraminer,US,California,Husch,15.0,90.0,"Husch has been making Gewurztraminer for a long time and has it down pat. This is an excellent example of a dry, floral wine that's fun enough for an outdoor summer concert and serious enough for a winter's lunch. It smells and tastes floral, peachy and a little nutty, with medium body and good acidity to balance it."
Rosé,Austria,Burgenland,Markus Altenburger,15.0,90.0,"A restrained nose softly hints at tart berry and citrus. The palate is fresh but less precise when it comes to fruit: the body is light, dry and fresh, with a lasting note of citrus zestiness. With a clean finish and a tiny hint of grip, it's a wonderful rosé for the table."
St. Laurent,Austria,Burgenland,Sattler,15.0,90.0,"Ripe red and luscious black cherry are the fruity protagonists here, dominating nose and palate with their dense, aromatic ripeness. The fruit shimmers both red and black, backed by densely woven but fine tannins and countered by freshness and verve. Juiciness and fruit prevail."
Chenin Blanc,US,Washington,L'Ecole No. 41,15.0,90.0,"This wine comes from vineyards planted in the late 1970s. It shows pleasing aromas of Bosc pear, melon and flowers. The wine tastes a hair off dry, with a full, appealing feel to the apple and passion fruit flavors."
Red Blend,Spain,Levante,Bodegas Luzón,15.0,90.0,"Leather and earth aromas are subtle, with oak and berry scents lurking. This Monastrell blend has a solid mouthfeel and firm tannins that scrape a little but also give structure. Plum, raspberry and herbal flavors finish woodsy and ultimately oaky as smoke and spice notes fade."
Sauvignon Blanc,Chile,Casablanca Valley,Casas del Bosque,15.0,90.0,"Casas del Bosque makes some of the most pungent, expressive Sauvignon Blancs in Chile. This vintage fits the blueprint; it's forward, punchy and full of passion fruit, white grapefruit and tarragon on both the bouquet and palate. Shows mineral components, saline and scallion on the finish. A high-quality wine with a commensurate price tag."
Bordeaux-style Red Blend,France,Bordeaux,Château La Branne,15.0,90.0,"While the wine is dominated by flavors of wood aging, it also has fine fruit weight that will come through. Then it will be a powerful and concentrated wine, rich and full of blackberry and black plum fruits. The structure will keep this fruitiness in order. Drink from 2017."
Red Blend,Italy,Tuscany,Gracciano della Seta,15.0,90.0,"Floral and fragrant, this opens with aromas of rose, blue flower, forest floor and woodland berries. The palate offers crushed black cherry, wild raspberry, orange zest and clove alongside firm tannins and bright acidity. It's savory and tannic; enjoy through 2017."
Scheurebe,Austria,Burgenland,Hafner Kosher,15.0,90.0,"There's an intriguing edge of spice to this blossom and apricot-scented BA, as befits the heady aromatics of the Scheurebe grape. The palate is sweet but wonderfully countered by lemony freshness. A spicy and intriguing little number."
Chenin Blanc,US,Washington,Pacific Rim,15.0,90.0,"Sourced from vines planted 45 years ago, this ripe and floral wine offers classically varietal scents of flowers, while flavors recall pear and peach. The length and detail are excellent."
Grüner Veltliner,Austria,Niederösterreich,Nastl,15.0,90.0,"Primary, fruity peardrop notes dominate this wine's aroma, with zesty lemon accents. The palate, which still has some noticeable spritz, has lovely herbal tones. Light, dry and very refreshing."
Pinot Gris,US,Oregon,Scenic Valley Farms,15.0,90.0,"Fresh, clean and varietal, this pushes fleshy pear flavors with a light hint of grapefruit. The presence in the mouth is full and satisfying, with a touch of honeysuckle, and the juicy finish lingers deliciously."
